"year","unregulated","BiOp","lowApril","Recess","LowRecess","BiOpTrib","LowSummer","NMFS1","Corps1","Corps2","OSU1"
1929,18274,15187,16633,14273,15412,13937,15181,15343,17015,16121,15343
1930,13177,14236,13597,12164,12305,11769,14241,13177,12896,10758,13177
1931,8026,12064,11835,12263,11837,9497,12064,12262,12467,11998,12262
1932,21759,21036,21095,21034,21034,21034,21036,21036,21080,21772,21036
1933,30435,22380,23365,23326,23337,23372,22408,22380,21526,21353,22380
1934,6875,9972,9389,10615,9716,8212,9993,10282,8759,9389,10282
1935,17324,16412,16760,15337,15393,15373,16411,16358,16908,17864,16358
1936,20438,18957,19259,19261,19263,19266,18964,19340,19811,19941,19340
1937,25654,24866,24866,24866,24866,24866,24866,24866,24905,25022,24866
1938,19781,19299,19322,18949,18941,18949,19299,19299,20470,21144,19299
1939,10739,12608,12574,12578,12561,9932,12603,12608,13250,13104,12608
1940,7073,11305,10919,11103,10811,8243,11311,11321,11525,11156,11321
1941,11221,11599,11333,11402,11255,9515,11691,11695,11147,9132,11695
1942,14929,14547,13706,12345,12832,11758,14551,13170,13002,10606,13170
1943,14619,15344,15959,14325,14448,14130,15260,15593,17809,18062,15593
1944,11341,13174,12408,11944,12567,10082,13175,13219,11844,9396,13219
1945,26804,23498,23500,23498,23498,23500,23500,23498,23440,23434,23498
1946,17664,15495,16986,15402,15957,15282,15508,16672,17295,17027,16672
1947,8113,11351,11306,11641,11264,9112,11324,11370,11779,11651,11370
1948,25890,24995,24995,24995,24995,24995,24995,24995,24994,24991,24995
1949,20045,19308,19410,19274,19243,19247,19308,19313,19868,20252,19313
1950,27195,21716,21782,21775,21775,21782,21724,21678,21716,21751,21678
1951,16347,15795,17360,15180,16193,15765,15797,16813,18073,17460,16813
1952,21009,16464,16941,16372,16470,16346,16468,16881,18444,20709,16881
1953,23522,20422,20994,20891,20927,20971,20504,20486,19810,19739,20486
1954,13068,14586,14591,13587,14256,12002,14591,14362,15321,15328,14362
1955,25038,22789,22818,22789,22789,22818,22818,22789,22634,22634,22789
1956,24171,21642,21648,21642,21642,21648,21648,21642,21648,21725,21642
1957,16361,15381,16501,14767,15132,14084,15383,15482,16991,17289,15482
1958,14273,15270,15844,14651,15364,14386,15279,15627,14920,15592,15627
1959,15005,15240,15421,13285,13556,12821,15325,15281,16969,16626,15281
1960,24595,19112,19121,19112,19112,19121,19121,19112,19314,19418,19112
1961,17311,16592,16998,16621,16621,16621,16594,16648,17089,18424,16648
1962,18900,17891,17891,17891,17891,17891,17891,17891,17507,18038,17891
1963,15545,16525,17203,15280,15447,15245,16525,16639,18404,18781,16639
1964,16476,15192,16137,14780,15712,12348,15152,15537,15424,15125,15537
1965,13833,13477,13245,12543,12614,10579,13497,13271,14115,12684,13271
1966,11785,13273,13241,13273,13318,11687,13273,13273,13972,13737,13273
1967,16964,15132,14017,12190,12756,11956,15135,13711,14105,12571,13711
1968,8729,11745,11186,12006,11435,8977,11734,11667,10480,10035,11667
1969,22092,16324,17243,16278,16981,16198,16326,16955,19102,20321,16955
1970,13097,14672,14079,13748,14131,10386,14594,14404,15477,13876,14404
1971,22185,21221,21221,21221,21221,21221,21221,21221,21215,21341,21221
1972,25269,22168,22171,22168,22168,22171,22171,22168,22167,22166,22168
1973,9942,11474,10853,11724,11246,8927,11471,11524,10085,9405,11524
1974,20704,19695,19698,19697,19698,19697,19695,19695,19684,19603,19695
1975,19151,18114,18480,18300,18300,18300,18114,18116,19214,19658,18116
1976,13008,16498,17133,14199,15202,12347,16498,16505,17288,17352,16505
1977,19973,15941,16631,14513,14515,15512,15940,14611,14265,13712,14611
1978,15325,15017,14940,12454,12487,12447,15018,13154,12979,11538,13154
1979,13147,16415,17476,14265,14693,13129,16415,16501,18241,18124,16501
1980,10483,12376,11873,12901,11985,9490,12344,12260,12405,12217,12260
1981,11933,15288,15254,13386,13815,10928,15276,14851,13644,13333,14851
1982,16443,14795,15841,14543,14951,14424,14802,16359,17931,17955,16359
1983,18414,15551,16010,15056,15500,14455,15552,16587,17652,18692,16587
1984,24577,23507,23507,23507,23507,23507,23507,23507,23554,23185,23507
1985,14700,14582,14904,13595,14356,11760,14612,14263,14813,14436,14263
1986,14225,14866,14746,13495,14113,13570,14866,14495,14751,14460,14495
1987,7216,10325,9755,10824,9641,8073,10411,10401,9559,9742,10401
1988,16080,16042,16826,15477,15494,15475,16042,16042,17093,17483,16042
1989,12051,15422,15314,14547,16068,11846,15422,14650,14040,13672,14650
1990,10877,13580,13504,13492,14261,10527,14176,13281,13488,12940,13281
1991,18540,15462,16221,14856,15826,13396,15463,16625,18186,17690,16625
1992,5864,9893,9328,10200,9722,7436,9893,10072,8806,8797,10072
1993,24382,23440,23552,23398,23398,23398,23440,23440,24296,24998,23440
1994,8060,10585,10204,10601,10042,7815,10578,10588,10080,9095,10588
1995,12630,16488,17031,14129,15081,12581,16490,16503,18368,17383,16503
1996,15922,15278,16897,14425,14969,13735,15287,16391,18125,19576,16391
1997,14896,15509,16684,14872,14873,14870,15508,15509,17352,19087,15509
1998,15473,14124,14594,14682,14770,12115,14098,14154,14238,14044,14154
1999,25930,23313,23520,23682,23491,23684,23315,23003,22977,22917,23003
2000,17798,15582,16444,15333,15994,15321,15581,16549,18325,18441,16549
2001,10077,11521,11073,11946,10995,8768,11537,11501,10546,9206,11501
2002,13652,14948,14909,13730,14553,11571,14905,14407,14967,14377,14407
2003,13105,15214,15714,13790,14693,12638,15231,15550,15887,14639,15550
2004,12122,12403,12190,12359,12086,9764,12414,12405,12621,12264,12405
2005,15928,15187,15994,14295,14409,11255,15194,15187,15622,15880,15187
2006,15597,13859,13800,13936,12801,10494,14160,13229,14632,14584,13229
2007,9146,11354,11309,11353,11305,9468,11338,11382,11776,12010,11382
