group,year,unmarked
adult,1999,26161
adult,2000,28480
adult,2001,24087
adult,2002,21341
adult,2003,22319
adult,2004,18980
adult,2005,8442
adult,2006,9766
adult,2007,7823
adult,2008,5306
adult,2009,7246
adult,2010,13846
adult,2011,13180
adult,2012,8410
adult,2013,7036
adult,2014,6412
adult,2015,8948
adult,2016,6631
adult,2017,5905
jack,1999,1031
jack,2000,851
jack,2001,369
jack,2002,197
jack,2003,448
jack,2004,76
jack,2005,223
jack,2006,44
jack,2007,80
jack,2008,157
jack,2009,460
jack,2010,302
jack,2011,247
jack,2012,305
jack,2013,316
jack,2014,284
jack,2015,481
jack,2016,391
jack,2017,268
total,1999,27192
total,2000,29331
total,2001,24456
total,2002,21538
total,2003,22767
total,2004,19056
total,2005,8665
total,2006,9810
total,2007,7903
total,2008,5463
total,2009,7706
total,2010,14148
total,2011,13427
total,2012,8715
total,2013,7352
total,2014,6696
total,2015,9429
total,2016,7022
total,2017,6173